DATE,PX_LAST,VOLUME,OPEN_INTEREST
2019-10-15,10920.25,2752.0,2206.0
2019-10-16,10626.2,3685.0,2472.0
2019-10-17,10773.23,2582.0,1955.0
2019-10-18,10639.56,3414.0,1850.0
2019-10-21,10967.04,3642.0,1567.0
2019-10-22,10913.57,2446.0,1321.0
2019-10-23,9991.3,5767.0,1442.0
2019-10-24,10011.35,3210.0,471.0
2019-10-25,10263.29,560.0,251.0
2019-10-28,11223.08,6474.0,1707.0
2019-10-29,10969.88,3035.0,1835.0
2019-10-30,10916.89,3553.0,1964.0
2019-10-31,10958.11,2086.0,1966.0
2019-11-01,10875.67,2641.0,1912.0
2019-11-04,11264.3,3453.0,2294.0
2019-11-05,11093.54,2875.0,2084.0
2019-11-06,11022.88,1366.0,2026.0
2019-11-07,10858.01,3323.0,2001.0
2019-11-08,10416.38,5487.0,1801.0
2019-11-11,10304.51,3623.0,1698.0
2019-11-12,10404.61,3545.0,1666.0
2019-11-13,10345.72,2121.0,1684.0
2019-11-14,10216.18,2337.0,1742.0
2019-11-15,10015.98,4095.0,1562.0
2019-11-18,9662.68,4004.0,1648.0
2019-11-19,9550.81,3007.0,1556.0
2019-11-20,9550.81,3885.0,1543.0
2019-11-21,8926.65,5630.0,1506.0
2019-11-22,8632.23,9941.0,1367.0
2019-11-25,8437.92,10022.0,1332.0
2019-11-26,8379.04,5897.0,1181.0
2019-11-27,8914.87,8583.0,852.0
2019-11-29,9157.1,2447.0,654.0
2019-12-02,8611.2,4334.0,2558.0
2019-12-03,8617.07,1711.0,2536.0
2019-12-04,8476.19,8673.0,2563.0
2019-12-05,8710.99,4442.0,2450.0
2019-12-06,8757.95,3514.0,2495.0
2019-12-09,8593.59,3527.0,2606.0
2019-12-10,8470.32,3362.0,2699.0
2019-12-11,8423.36,2979.0,2636.0
2019-12-12,8529.02,4522.0,2562.0
2019-12-13,8529.02,3653.0,2496.0
2019-12-16,8053.55,7720.0,2524.0
2019-12-17,7724.84,5979.0,2833.0
2019-12-18,8376.4,11821.0,2113.0
2019-12-19,8411.62,4596.0,2048.0
2019-12-20,8487.93,2478.0,1977.0
2019-12-23,8699.25,7852.0,1680.0
2019-12-24,8493.8,3521.0,1405.0
2019-12-26,8511.41,4302.0,763.0
2019-12-27,8457.19,614.0,460.0
2019-12-30,8480.48,3115.0,2140.0
2019-12-31,8393.17,2953.0,2214.0
2020-01-02,8078.86,4754.0,2643.0
2020-01-03,8596.89,8657.0,2655.0
2020-01-06,8864.63,6104.0,2996.0
2020-01-07,9638.76,11526.0,3885.0
2020-01-08,9440.86,16332.0,3578.0
2020-01-09,9178.94,10399.0,3400.0
2020-01-10,9469.96,13111.0,3622.0
2020-01-13,9545.63,3206.0,3407.0
2020-01-14,10185.88,13502.0,3683.0
2020-01-15,10337.22,7019.0,3471.0
2020-01-16,10232.45,5818.0,3264.0
2020-01-17,10389.6,6895.0,3344.0
2020-01-21,10185.88,7456.0,3156.0
2020-01-22,10104.4,4717.0,3003.0
2020-01-23,9743.53,13847.0,2387.0
2020-01-24,9889.04,9837.0,2257.0
2020-01-27,10471.09,13131.0,2563.0
2020-01-28,10546.76,15878.0,2095.0
2020-01-29,10930.91,12121.0,1991.0
2020-01-30,11122.99,15041.0,892.0
2020-01-31,10800.1,1066.0,535.0
2020-02-03,10765.78,8918.0,2660.0
2020-02-04,10588.44,8189.0,2858.0
2020-02-05,11246.29,14307.0,3619.0
2020-02-06,11320.65,12014.0,3650.0
2020-02-07,11263.45,8523.0,3538.0
2020-02-10,11366.42,6779.0,3485.0
2020-02-11,11904.13,15832.0,4123.0
2020-02-12,12041.42,13010.0,3945.0
2020-02-13,11789.73,16242.0,3908.0
2020-02-14,12007.1,8771.0,4180.0
2020-02-18,11726.8,20878.0,4060.0
2020-02-19,11698.2,9019.0,4023.0
2020-02-20,11000.31,3918.0,3672.0
2020-02-21,11143.32,2125.0,3665.0
2020-02-24,10983.15,7379.0,2475.0
2020-02-25,10662.81,4061.0,1887.0
2020-02-26,10045.01,7637.0,1277.0
2020-02-27,10170.86,3897.0,527.0
2020-02-28,9911.14,626.0,327.0
2020-03-02,10224.42,2157.0,3932.0
2020-03-03,9990.88,2956.0,3848.0
2020-03-04,9979.49,1842.0,3788.0
2020-03-05,10475.05,3734.0,3769.0
2020-03-06,10440.87,1827.0,3731.0
2020-03-09,8942.81,9510.0,3666.0
2020-03-10,9107.99,5067.0,3175.0
2020-03-11,8948.51,3910.0,3078.0
2020-03-12,6846.66,16034.0,3200.0
2020-03-13,6072.0,15531.0,3366.0
2020-03-16,5616.31,14879.0,3098.0
2020-03-17,6128.96,6875.0,2877.0
2020-03-18,6083.39,8746.0,2635.0
2020-03-19,7108.68,8961.0,2399.0
2020-03-20,7074.5,6787.0,1791.0
2020-03-23,7177.03,8329.0,1535.0
2020-03-24,7661.2,7837.0,1399.0
2020-03-25,7552.97,5175.0,1054.0
2020-03-26,7604.24,3497.0,531.0
2020-03-27,7573.89,464.0,328.0
2020-03-30,7233.74,4341.0,2509.0
2020-03-31,7341.46,2305.0,2576.0
2020-04-01,7040.99,2656.0,2906.0
2020-04-02,7783.64,9591.0,3550.0
2020-04-03,7709.95,3943.0,3419.0
2020-04-06,8310.87,10939.0,3564.0
2020-04-07,8310.87,7749.0,3609.0
2020-04-08,8316.54,3066.0,3132.0
2020-04-09,8265.51,2793.0,3058.0
2020-04-13,7721.28,5395.0,3148.0
2020-04-14,7880.02,2232.0,3339.0
2020-04-15,7641.92,2144.0,3293.0
2020-04-16,8055.76,6364.0,3640.0
2020-04-17,8027.41,1863.0,3600.0
2020-04-20,7704.28,4302.0,3445.0
2020-04-21,7811.99,2879.0,3071.0
2020-04-22,8067.1,3504.0,2699.0
2020-04-23,8548.97,8039.0,1159.0
2020-04-24,8459.24,1124.0,668.0
2020-04-27,8665.29,2872.0,3783.0
2020-04-28,8665.29,1762.0,3953.0
2020-04-29,9829.2,9729.0,4496.0
2020-04-30,9946.15,10524.0,4291.0
2020-05-01,9845.91,5127.0,5225.0
2020-05-04,9951.72,3992.0,5063.0
2020-05-05,10007.41,4675.0,5084.0
2020-05-06,10402.8,6330.0,5777.0
2020-05-07,11149.04,12108.0,6492.0
2020-05-08,11171.32,6747.0,6234.0
2020-05-11,9795.79,19225.0,5633.0
2020-05-12,9879.32,6912.0,6322.0
2020-05-13,10324.84,5001.0,6873.0
2020-05-14,10831.61,8874.0,6981.0
2020-05-15,10464.06,7857.0,6671.0
2020-05-18,10853.89,7691.0,6689.0
2020-05-19,10781.49,6700.0,6668.0
2020-05-20,10658.97,6276.0,6364.0
2020-05-21,10107.65,8797.0,5236.0
2020-05-22,10219.03,4564.0,4694.0
2020-05-26,9784.65,8287.0,3473.0
2020-05-27,10213.46,5653.0,2551.0
2020-05-28,10525.32,6137.0,654.0
2020-05-29,10518.0,520.0,494.0
2020-06-01,10717.92,3656.0,7233.0
2020-06-02,10640.18,14048.0,7115.0
2020-06-03,10723.48,3179.0,7202.0
2020-06-04,10990.03,4328.0,7472.0
2020-06-05,10884.52,4508.0,7617.0
2020-06-08,10862.31,3757.0,7699.0
2020-06-09,10890.08,4291.0,7599.0
2020-06-10,11034.46,7010.0,8025.0
2020-06-11,10329.19,10869.0,6831.0
2020-06-12,10512.45,3848.0,6664.0
2020-06-15,10484.68,5850.0,6321.0
2020-06-16,10584.64,3436.0,6334.0
2020-06-17,10356.96,3206.0,5843.0
2020-06-18,10451.36,2135.0,5853.0
2020-06-19,10345.85,3481.0,5821.0
2020-06-22,10645.73,5062.0,5708.0
2020-06-23,10729.03,3811.0,4605.0
2020-06-24,10312.53,8255.0,2182.0
2020-06-25,10306.98,5012.0,835.0
2020-06-26,10089.51,1005.0,504.0
2020-06-29,10067.62,2742.0,5032.0
2020-06-30,10051.21,2856.0,5081.0
2020-07-01,10204.41,4789.0,5473.0
2020-07-02,9914.42,6562.0,5209.0
2020-07-06,10237.24,6890.0,5320.0
2020-07-07,10166.11,2975.0,5166.0
2020-07-08,10406.86,5163.0,5835.0
2020-07-09,10127.81,5931.0,5136.0
2020-07-10,10149.69,2296.0,4906.0
2020-07-13,10144.22,2844.0,5061.0
2020-07-14,10187.99,2869.0,5051.0
2020-07-15,10056.68,2330.0,5010.0
2020-07-16,10007.43,3344.0,4768.0
2020-07-17,10062.15,1674.0,4627.0
2020-07-20,10056.68,2432.0,4590.0
2020-07-21,10281.01,5408.0,5367.0
2020-07-22,10313.84,3117.0,5396.0
2020-07-23,10560.06,6653.0,5718.0
2020-07-24,10521.76,3110.0,5363.0
2020-07-27,11922.47,16157.0,5638.0
2020-07-28,12075.67,15293.0,4734.0
2020-07-29,12300.01,9081.0,3409.0
2020-07-30,12196.05,7340.0,1786.0
2020-07-31,12264.45,1457.0,1344.0
2020-08-03,12275.02,5333.0,10112.0
2020-08-04,12010.92,6915.0,9590.0
2020-08-05,12517.98,11366.0,10430.0
2020-08-06,12718.69,4902.0,10475.0
2020-08-07,12227.48,10007.0,9372.0
2020-08-10,12692.28,9860.0,10047.0
2020-08-11,12079.59,10291.0,8847.0
2020-08-12,12322.55,6069.0,9257.0
2020-08-13,12243.33,5062.0,8965.0
2020-08-14,12607.77,9980.0,9673.0
2020-08-17,13188.78,8883.0,10186.0
2020-08-18,12713.41,10621.0,8995.0
2020-08-19,12348.96,10164.0,7625.0
2020-08-20,12565.52,4860.0,7659.0
2020-08-21,12354.24,9663.0,6846.0
2020-08-24,12433.47,7416.0,6119.0
2020-08-25,11947.54,12762.0,4727.0
2020-08-26,12127.12,6639.0,3821.0
2020-08-27,11905.29,9007.0,2217.0
2020-08-28,12094.44,1655.0,1494.0
2020-08-31,12307.63,4865.0,8266.0
2020-09-01,12557.21,8919.0,8739.0
2020-09-02,11917.65,17210.0,7528.0
2020-09-03,11148.1,15412.0,6589.0
2020-09-04,11044.11,15668.0,6348.0
2020-09-08,10414.95,14549.0,5966.0
2020-09-09,10732.13,5218.0,5947.0
2020-09-10,10726.93,7860.0,7063.0
2020-09-11,10752.92,4819.0,6472.0
2020-09-14,11132.5,6525.0,7058.0
2020-09-15,11246.89,4052.0,6775.0
2020-09-16,11454.88,7056.0,6894.0
2020-09-17,11387.29,7179.0,6430.0
2020-09-18,11314.49,4499.0,6380.0
2020-09-21,10903.72,12875.0,5595.0
2020-09-22,10914.11,4081.0,4946.0
2020-09-23,10690.53,7721.0,3021.0
2020-09-24,11096.1,8985.0,1856.0
2020-09-25,11030.35,1056.0,1528.0
2020-09-28,11167.91,4100.0,5611.0
2020-09-29,11020.16,4764.0,5270.0
2020-09-30,10974.3,5671.0,5426.0
2020-10-01,10846.93,11708.0,5041.0
2020-10-02,10750.13,5867.0,4485.0
2020-10-05,11020.16,4462.0,5254.0
2020-10-06,10831.65,4093.0,5393.0
2020-10-07,10923.36,2260.0,5467.0
2020-10-08,11162.81,5066.0,6188.0
2020-10-09,11320.75,3469.0,6312.0
2020-10-12,11850.62,6338.0,7285.0
2020-10-13,11657.01,4170.0,6843.0
2020-10-14,11626.45,3466.0,6950.0
2020-10-15,11814.95,3418.0,7108.0
2020-10-16,11575.5,5373.0,6475.0
2020-10-19,11977.99,6876.0,7925.0
2020-10-20,12197.07,4060.0,8105.0
2020-10-21,12996.96,10223.0,8699.0
2020-10-22,13404.55,7369.0,8351.0
2020-10-23,13216.04,3793.0,7928.0
2020-10-26,13292.46,6031.0,7298.0
2020-10-27,13944.6,9034.0,5332.0
2020-10-28,13424.93,10745.0,3257.0
2020-10-29,13761.19,6884.0,1637.0
2020-10-30,13734.32,625.0,1349.0
2020-11-02,13789.31,5042.0,8394.0
2020-11-03,13844.31,3731.0,8523.0
